set_id,person,person_path,person_hair,person_tone,person_view,garment,garment_path,garment_kind,stress,why
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_beige_long_coat_menswear,dualuse_woman_top_denim_skirt_nonceleb,test_set2/people/dualuse_woman_top_denim_skirt_nonceleb.jpg,long,light,frontal,dualuse_lp_beige_long_coat_menswear,test_set2/clothes/dualuse_lp_beige_long_coat_menswear.webp,worn,BC,beige against skin - the low-amplitude boundary case
dualuse_queen_latifah_gown_stage+dualuse_lp_beige_long_coat_menswear,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,long,deep,frontal,dualuse_lp_beige_long_coat_menswear,test_set2/clothes/dualuse_lp_beige_long_coat_menswear.webp,worn,BC,beige against skin - the low-amplitude boundary case
dualuse_man_black_suit_studio_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_man_black_suit_studio_nonceleb,test_set2/people/dualuse_man_black_suit_studio_nonceleb.jpg,short,medium,frontal,dualuse_zendaya_white_blazer_skirt,test_set2/people/dualuse_zendaya_white_blazer_skirt.jpeg,worn,BC,long hair over a white garment on a light ground
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_zendaya_white_blazer_skirt,dualuse_gal_gadot_blue_dress_redcarpet,test_set2/people/dualuse_gal_gadot_blue_dress_redcarpet.jpg,long,light,frontal,dualuse_zendaya_white_blazer_skirt,test_set2/people/dualuse_zendaya_white_blazer_skirt.jpeg,worn,BC,long hair over a white garment on a light ground
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_zendaya_white_blazer_skirt,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,long,light,back,dualuse_zendaya_white_blazer_skirt,test_set2/people/dualuse_zendaya_white_blazer_skirt.jpeg,worn,BC,long hair over a white garment on a light ground
dualuse_emma_watson_black_blazer_armscrossed+dualuse_queen_latifah_gown_stage,dualuse_emma_watson_black_blazer_armscrossed,test_set2/people/dualuse_emma_watson_black_blazer_armscrossed.jpg,long,light,frontal,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,worn,BC,"long hair, stage lighting, gown drape"
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_queen_latifah_gown_stage,dualuse_hugh_jackman_grey_suit_outdoor,test_set2/people/dualuse_hugh_jackman_grey_suit_outdoor.jpg,short,light,frontal,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,worn,BC,"long hair, stage lighting, gown drape"
dualuse_woman_top_denim_skirt_nonceleb+dualuse_queen_latifah_gown_stage,dualuse_woman_top_denim_skirt_nonceleb,test_set2/people/dualuse_woman_top_denim_skirt_nonceleb.jpg,long,light,frontal,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,worn,BC,"long hair, stage lighting, gown drape"
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,long,deep,frontal,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,worn,QX,back view - view-dependent information a regenerated front cannot hold
dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_man_black_suit_studio_nonceleb,test_set2/people/dualuse_man_black_suit_studio_nonceleb.jpg,short,medium,frontal,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,worn,QX,back view - view-dependent information a regenerated front cannot hold
dualuse_zendaya_white_blazer_skirt+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_zendaya_white_blazer_skirt,test_set2/people/dualuse_zendaya_white_blazer_skirt.jpeg,long,medium,frontal,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,worn,QX,back view - view-dependent information a regenerated front cannot hold
dualuse_gal_gadot_blue_dress_redcarpet+clothesonly_ts1g010_plain_tee_ghost,dualuse_gal_gadot_blue_dress_redcarpet,test_set2/people/dualuse_gal_gadot_blue_dress_redcarpet.jpg,long,light,frontal,clothesonly_ts1g010_plain_tee_ghost,test_set2/clothes/clothesonly_ts1g010_plain_tee_ghost.jpg,product,QX,plain: nothing to extract and everything to invent
dualuse_scarlett_johansson_black_dress_backview_night+clothesonly_ts1g010_plain_tee_ghost,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,long,light,back,clothesonly_ts1g010_plain_tee_ghost,test_set2/clothes/clothesonly_ts1g010_plain_tee_ghost.jpg,product,QX,plain: nothing to extract and everything to invent
dualuse_emma_watson_black_blazer_armscrossed+clothesonly_ts1g010_plain_tee_ghost,dualuse_emma_watson_black_blazer_armscrossed,test_set2/people/dualuse_emma_watson_black_blazer_armscrossed.jpg,long,light,frontal,clothesonly_ts1g010_plain_tee_ghost,test_set2/clothes/clothesonly_ts1g010_plain_tee_ghost.jpg,product,QX,plain: nothing to extract and everything to invent
dualuse_hugh_jackman_grey_suit_outdoor+clothesonly_ts1g026_metallica_text_tee_flat,dualuse_hugh_jackman_grey_suit_outdoor,test_set2/people/dualuse_hugh_jackman_grey_suit_outdoor.jpg,short,light,frontal,clothesonly_ts1g026_metallica_text_tee_flat,test_set2/clothes/clothesonly_ts1g026_metallica_text_tee_flat.jpg,product,QX,heavy text - regeneration mangles glyphs
dualuse_woman_top_denim_skirt_nonceleb+clothesonly_ts1g026_metallica_text_tee_flat,dualuse_woman_top_denim_skirt_nonceleb,test_set2/people/dualuse_woman_top_denim_skirt_nonceleb.jpg,long,light,frontal,clothesonly_ts1g026_metallica_text_tee_flat,test_set2/clothes/clothesonly_ts1g026_metallica_text_tee_flat.jpg,product,QX,heavy text - regeneration mangles glyphs
dualuse_queen_latifah_gown_stage+clothesonly_ts1g026_metallica_text_tee_flat,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,long,deep,frontal,clothesonly_ts1g026_metallica_text_tee_flat,test_set2/clothes/clothesonly_ts1g026_metallica_text_tee_flat.jpg,product,QX,heavy text - regeneration mangles glyphs
dualuse_man_black_suit_studio_nonceleb+clothesonly_ts1g028_fine_stripe_shirt_ghost,dualuse_man_black_suit_studio_nonceleb,test_set2/people/dualuse_man_black_suit_studio_nonceleb.jpg,short,medium,frontal,clothesonly_ts1g028_fine_stripe_shirt_ghost,test_set2/clothes/clothesonly_ts1g028_fine_stripe_shirt_ghost.jpg,product,QX,fine stripes - the smoothing case
dualuse_zendaya_white_blazer_skirt+clothesonly_ts1g028_fine_stripe_shirt_ghost,dualuse_zendaya_white_blazer_skirt,test_set2/people/dualuse_zendaya_white_blazer_skirt.jpeg,long,medium,frontal,clothesonly_ts1g028_fine_stripe_shirt_ghost,test_set2/clothes/clothesonly_ts1g028_fine_stripe_shirt_ghost.jpg,product,QX,fine stripes - the smoothing case
dualuse_gal_gadot_blue_dress_redcarpet+clothesonly_ts1g028_fine_stripe_shirt_ghost,dualuse_gal_gadot_blue_dress_redcarpet,test_set2/people/dualuse_gal_gadot_blue_dress_redcarpet.jpg,long,light,frontal,clothesonly_ts1g028_fine_stripe_shirt_ghost,test_set2/clothes/clothesonly_ts1g028_fine_stripe_shirt_ghost.jpg,product,QX,fine stripes - the smoothing case
dualuse_scarlett_johansson_black_dress_backview_night+clothesonly_ts1g001_graphic_logo_tee,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,long,light,back,clothesonly_ts1g001_graphic_logo_tee,test_set2/clothes/clothesonly_ts1g001_graphic_logo_tee.jpg,product,QX,a logo mark: destroyed or invented
dualuse_emma_watson_black_blazer_armscrossed+clothesonly_ts1g001_graphic_logo_tee,dualuse_emma_watson_black_blazer_armscrossed,test_set2/people/dualuse_emma_watson_black_blazer_armscrossed.jpg,long,light,frontal,clothesonly_ts1g001_graphic_logo_tee,test_set2/clothes/clothesonly_ts1g001_graphic_logo_tee.jpg,product,QX,a logo mark: destroyed or invented
dualuse_hugh_jackman_grey_suit_outdoor+clothesonly_ts1g001_graphic_logo_tee,dualuse_hugh_jackman_grey_suit_outdoor,test_set2/people/dualuse_hugh_jackman_grey_suit_outdoor.jpg,short,light,frontal,clothesonly_ts1g001_graphic_logo_tee,test_set2/clothes/clothesonly_ts1g001_graphic_logo_tee.jpg,product,QX,a logo mark: destroyed or invented
dualuse_woman_top_denim_skirt_nonceleb+clothesonly_ts1g008_plaid_flannel,dualuse_woman_top_denim_skirt_nonceleb,test_set2/people/dualuse_woman_top_denim_skirt_nonceleb.jpg,long,light,frontal,clothesonly_ts1g008_plaid_flannel,test_set2/clothes/clothesonly_ts1g008_plaid_flannel.jpg,product,QX,"dense plaid without a wearer, so the crop is not a variable"
dualuse_queen_latifah_gown_stage+clothesonly_ts1g008_plaid_flannel,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,long,deep,frontal,clothesonly_ts1g008_plaid_flannel,test_set2/clothes/clothesonly_ts1g008_plaid_flannel.jpg,product,QX,"dense plaid without a wearer, so the crop is not a variable"
dualuse_man_black_suit_studio_nonceleb+clothesonly_ts1g008_plaid_flannel,dualuse_man_black_suit_studio_nonceleb,test_set2/people/dualuse_man_black_suit_studio_nonceleb.jpg,short,medium,frontal,clothesonly_ts1g008_plaid_flannel,test_set2/clothes/clothesonly_ts1g008_plaid_flannel.jpg,product,QX,"dense plaid without a wearer, so the crop is not a variable"
