set_id,person,garment,seed,bc
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_lp_navy_quarterzip_knit_LOWRES,47,ok
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,46,ok
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,48,ok
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,dualuse_zendaya_white_blazer_skirt,dualuse_lp_beige_long_coat_menswear,48,ok
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,dualuse_zendaya_white_blazer_skirt,dualuse_navy_peacoat_onmodel,48,ok
g004+g013,g004,g013,47,ok
g004+g013,g004,g013,48,ok
g004+p001,g004,p001,47,ok
g011+g012,g011,g012,48,ok
g011+g018,g011,g018,48,ok
g011+p004,g011,p004,47,ok
g013+g014,g013,g014,46,ok
g013+g014,g013,g014,47,ok
g013+g014,g013,g014,48,ok
g013+g027,g013,g027,48,ok
g014+g015,g014,g015,48,ok
g015+g030,g015,g030,48,ok
g018+p009,g018,p009,48,ok
g024+g027,g024,g027,46,ok
g024+p002,g024,p002,48,ok
g024+p010,g024,p010,46,ok
g024+p010,g024,p010,47,ok
g024+p010,g024,p010,48,ok
g027+p003,g027,p003,47,ok
g029+g030,g029,g030,47,ok
g029+p004,g029,p004,46,ok
p001+p006,p001,p006,46,ok
p001+p024,p001,p024,46,ok
p002+p003,p002,p003,46,ok
p002+p015,p002,p015,47,ok
p003+p016,p003,p016,48,ok
p004+p017,p004,p017,46,ok
p005+p018,p005,p018,47,ok
p005+p028,p005,p028,48,ok
p006+p019,p006,p019,48,ok
p006+p029,p006,p029,47,ok
p007+p008,p007,p008,46,ok
p007+p020,p007,p020,48,ok
p008+p009,p008,p009,46,ok
p009+p014,p009,p014,46,ok
p010+dualuse_hugh_jackman_grey_suit_outdoor,p010,dualuse_hugh_jackman_grey_suit_outdoor,46,ok
p010+p011,p010,p011,48,ok
p010+p015,p010,p015,46,ok
p010+p015,p010,p015,48,ok
p010+p023,p010,p023,46,ok
p010+p023,p010,p023,47,ok
p010+p023,p010,p023,48,ok
p011+p012,p011,p012,47,ok
p011+p012,p011,p012,48,ok
p011+p016,p011,p016,46,ok
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,47,ok
p013+p014,p013,p014,48,ok
p013+p018,p013,p018,47,ok
p013+p018,p013,p018,48,ok
p013+p026,p013,p026,48,ok
p014+dualuse_woman_top_denim_skirt_nonceleb,p014,dualuse_woman_top_denim_skirt_nonceleb,48,ok
p014+p015,p014,p015,46,ok
p014+p015,p014,p015,47,ok
p014+p019,p014,p019,47,ok
p015+p020,p015,p020,47,ok
p015+p028,p015,p028,48,ok
p016+dualuse_lp_beige_long_coat_menswear,p016,dualuse_lp_beige_long_coat_menswear,48,ok
p016+p017,p016,p017,48,ok
p016+p029,p016,p029,47,ok
p016+p029,p016,p029,48,ok
p017+dualuse_lp_floral_kimono_set,p017,dualuse_lp_floral_kimono_set,48,ok
p017+p018,p017,p018,47,ok
p017+p030,p017,p030,47,ok
p018+dualuse_emma_watson_black_blazer_armscrossed,p018,dualuse_emma_watson_black_blazer_armscrossed,48,ok
p018+p019,p018,p019,46,ok
p019+p020,p019,p020,47,ok
p020+dualuse_hugh_jackman_grey_suit_outdoor,p020,dualuse_hugh_jackman_grey_suit_outdoor,48,ok
p020+dualuse_navy_peacoat_onmodel,p020,dualuse_navy_peacoat_onmodel,46,ok
p021+dualuse_man_black_suit_studio_nonceleb,p021,dualuse_man_black_suit_studio_nonceleb,47,ok
p021+p026,p021,p026,46,ok
p022+p023,p022,p023,46,ok
p022+p023,p022,p023,47,ok
p022+p023,p022,p023,48,ok
p023+dualuse_scarlett_johansson_black_dress_backview_night,p023,dualuse_scarlett_johansson_black_dress_backview_night,47,ok
p023+g009,p023,g009,48,ok
p023+p024,p023,p024,46,ok
p023+p024,p023,p024,47,ok
p024+g011,p024,g011,46,ok
p024+g011,p024,g011,47,ok
p025+dualuse_zendaya_white_blazer_skirt,p025,dualuse_zendaya_white_blazer_skirt,46,ok
p026+dualuse_lp_beige_long_coat_menswear,p026,dualuse_lp_beige_long_coat_menswear,46,ok
p026+dualuse_lp_beige_long_coat_menswear,p026,dualuse_lp_beige_long_coat_menswear,47,ok
p026+g013,p026,g013,47,ok
p027+dualuse_lp_floral_kimono_set,p027,dualuse_lp_floral_kimono_set,48,ok
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,p028,dualuse_lp_navy_quarterzip_knit_LOWRES,47,ok
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,p028,dualuse_lp_navy_quarterzip_knit_LOWRES,48,ok
p028+g015,p028,g015,46,ok
p028+p029,p028,p029,48,ok
p029+dualuse_lp_plaid_overcoat_brown_suit,p029,dualuse_lp_plaid_overcoat_brown_suit,48,ok
p029+dualuse_man_black_suit_studio_nonceleb,p029,dualuse_man_black_suit_studio_nonceleb,46,ok
p029+dualuse_man_black_suit_studio_nonceleb,p029,dualuse_man_black_suit_studio_nonceleb,47,ok
p029+g018,p029,g018,48,ok
p030+dualuse_emma_watson_black_blazer_armscrossed,p030,dualuse_emma_watson_black_blazer_armscrossed,46,ok
p030+dualuse_emma_watson_black_blazer_armscrossed,p030,dualuse_emma_watson_black_blazer_armscrossed,48,ok
p030+dualuse_navy_peacoat_onmodel,p030,dualuse_navy_peacoat_onmodel,46,ok
