set_id,seed,fid_V,fid_BC,real_V,real_BC,mean_V,mean_BC,vlm_winner,garment_V,identity_V,scene_V,clean_V,hands_V,realism_V,garment_BC,identity_BC,scene_BC,clean_BC,hands_BC,realism_BC
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,48,4.33,3.67,4.0,3.67,4.17,3.67,V,4,5,4,4,4,4,3,4,4,3,4,4
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,46,3.67,4.0,4.0,3.67,3.83,3.83,BC,3,4,4,4,4,4,3,5,4,3,4,4
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,47,3.67,3.67,3.67,3.33,3.67,3.5,V,3,4,4,3,4,4,3,4,4,3,4,3
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,48,4.33,3.33,4.0,3.67,4.17,3.5,V,3,5,5,4,4,4,3,4,3,3,4,4
dualuse_gal_gadot_blue_dress_redcarpet+g005,46,4.0,4.0,3.67,3.33,3.83,3.67,V,3,4,5,3,4,4,4,4,4,3,3,4
dualuse_gal_gadot_blue_dress_redcarpet+g005,47,3.67,3.67,3.67,3.0,3.67,3.33,V,3,4,4,3,4,4,3,4,4,2,4,3
dualuse_gal_gadot_blue_dress_redcarpet+g005,48,4.0,4.33,3.67,3.67,3.83,4.0,BC,4,4,4,3,4,4,4,4,5,3,4,4
dualuse_gal_gadot_blue_dress_redcarpet+g029,46,3.67,4.0,3.33,4.0,3.5,4.0,BC,3,4,4,3,4,3,3,4,5,4,4,4
dualuse_gal_gadot_blue_dress_redcarpet+g029,47,3.67,3.67,3.33,3.33,3.5,3.5,tie,3,4,4,3,3,4,3,4,4,3,3,4
dualuse_gal_gadot_blue_dress_redcarpet+g029,48,3.67,3.67,3.33,3.67,3.5,3.67,BC,3,4,4,3,3,4,3,4,4,4,3,4
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,46,4.67,4.33,4.0,4.0,4.33,4.17,V,4,5,5,4,4,4,4,4,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,47,4.67,4.33,4.0,4.0,4.33,4.17,V,4,5,5,4,4,4,4,4,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,48,4.33,4.67,4.0,4.0,4.17,4.33,BC,4,4,5,4,4,4,4,5,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,3.67,3.67,4.0,4.0,3.83,3.83,tie,2,4,5,4,4,4,2,4,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,3.67,3.67,3.67,4.0,3.67,3.83,BC,2,4,5,3,4,4,2,4,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,3.67,3.67,4.0,4.0,3.83,3.83,tie,2,4,5,4,4,4,2,4,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+g009,46,4.0,4.33,4.0,3.67,4.0,4.0,BC,3,4,5,4,4,4,4,4,5,4,3,4
dualuse_hugh_jackman_grey_suit_outdoor+g009,47,4.0,4.33,3.67,4.0,3.83,4.17,BC,3,4,5,4,3,4,4,4,5,4,4,4
dualuse_hugh_jackman_grey_suit_outdoor+g009,48,4.0,4.33,3.67,4.0,3.83,4.17,BC,3,4,5,4,3,4,4,4,5,4,4,4
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,46,3.33,4.0,4.0,4.0,3.67,4.0,BC,2,4,4,4,4,4,3,5,4,4,4,4
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,47,4.0,3.67,4.0,4.0,4.0,3.83,V,3,5,4,4,4,4,3,4,4,4,4,4
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,48,3.33,3.67,3.67,4.0,3.5,3.83,BC,3,4,3,4,3,4,3,4,4,4,4,4
dualuse_lp_beige_long_coat_menswear+g004,46,4.0,4.0,3.67,4.33,3.83,4.17,BC,3,5,4,3,4,4,4,4,4,4,5,4
dualuse_lp_beige_long_coat_menswear+g004,47,3.67,3.67,4.0,3.67,3.83,3.67,V,3,4,4,4,4,4,4,4,3,4,3,4
dualuse_lp_beige_long_coat_menswear+g004,48,3.33,4.33,3.67,4.0,3.5,4.17,BC,2,4,4,3,4,4,4,5,4,4,4,4
dualuse_lp_beige_long_coat_menswear+g018,46,3.67,3.33,4.0,4.33,3.83,3.83,V,2,5,4,4,4,4,2,4,4,4,5,4
dualuse_lp_beige_long_coat_menswear+g018,47,4.0,3.67,4.0,4.33,4.0,4.0,V,2,5,5,4,4,4,3,4,4,4,5,4
dualuse_lp_beige_long_coat_menswear+g018,48,3.33,3.67,4.0,4.0,3.67,3.83,BC,2,4,4,4,4,4,3,4,4,4,4,4
dualuse_lp_floral_kimono_set+g005,46,3.33,3.0,3.0,2.33,3.17,2.67,V,2,4,4,2,4,3,2,3,4,2,3,2
dualuse_lp_floral_kimono_set+g005,47,3.33,3.0,3.0,3.33,3.17,3.17,V,2,3,5,2,4,3,2,3,4,3,4,3
dualuse_lp_floral_kimono_set+g005,48,3.33,3.0,3.0,3.0,3.17,3.0,V,2,3,5,2,4,3,2,3,4,2,4,3
dualuse_lp_floral_kimono_set+g024,46,3.67,3.67,3.67,3.0,3.67,3.33,V,3,4,4,3,4,4,3,4,4,2,4,3
dualuse_lp_floral_kimono_set+g024,47,3.33,3.67,2.67,3.67,3.0,3.67,BC,2,4,4,2,3,3,2,4,5,4,3,4
dualuse_lp_floral_kimono_set+g024,48,3.67,3.67,3.67,3.33,3.67,3.5,V,3,4,4,3,4,4,3,4,4,3,3,4
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,46,4.33,4.33,4.0,4.0,4.17,4.17,tie,3,5,5,4,4,4,3,5,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,47,4.33,4.0,4.0,4.0,4.17,4.0,V,3,5,5,4,4,4,3,4,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,48,4.0,4.33,4.0,4.0,4.0,4.17,BC,3,4,5,4,4,4,3,5,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,46,3.67,4.0,4.0,4.0,3.83,4.0,BC,3,4,4,4,4,4,3,4,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,47,4.0,4.33,4.0,4.0,4.0,4.17,BC,3,4,5,4,4,4,3,5,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,48,4.0,3.67,4.0,4.0,4.0,3.83,V,3,4,5,4,4,4,3,4,4,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,46,4.33,4.33,4.0,4.0,4.17,4.17,tie,4,4,5,4,4,4,4,4,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,47,4.33,4.33,4.0,4.0,4.17,4.17,tie,4,4,5,4,4,4,4,4,5,4,4,4
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,48,4.33,4.67,4.0,4.0,4.17,4.33,BC,4,4,5,4,4,4,4,5,5,4,4,4
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,46,4.0,3.67,4.0,4.0,4.0,3.83,V,3,5,4,4,4,4,3,4,4,4,4,4
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,47,3.67,3.67,3.67,4.0,3.67,3.83,BC,3,4,4,3,4,4,3,4,4,4,4,4
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,48,3.67,3.67,4.0,4.0,3.83,3.83,tie,3,4,4,4,4,4,3,4,4,4,4,4
dualuse_lp_plaid_overcoat_brown_suit+g011,47,3.67,3.67,3.33,3.67,3.5,3.67,BC,3,4,4,3,3,4,3,4,4,3,4,4
dualuse_lp_plaid_overcoat_brown_suit+g029,48,3.67,3.67,4.0,3.67,3.83,3.67,V,2,5,4,4,4,4,3,4,4,3,4,4
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,46,4.33,4.0,4.0,3.67,4.17,3.83,V,3,5,5,4,4,4,4,4,4,4,3,4
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,47,4.33,4.33,4.0,4.0,4.17,4.17,tie,3,5,5,4,4,4,4,4,5,4,4,4
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,48,4.0,4.33,3.67,3.67,3.83,4.0,BC,3,4,5,4,3,4,4,4,5,4,3,4
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,46,4.0,4.0,3.33,4.0,3.67,4.0,BC,3,4,5,3,3,4,3,5,4,4,4,4
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,47,3.67,4.0,3.0,4.0,3.33,4.0,BC,3,4,4,3,3,3,3,4,5,4,4,4
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,48,3.67,4.0,3.0,3.0,3.33,3.5,BC,3,4,4,3,2,4,3,4,5,3,3,3
dualuse_man_black_suit_studio_nonceleb+g011,47,4.0,4.0,3.67,3.33,3.83,3.67,V,3,4,5,3,4,4,3,4,5,3,3,4
dualuse_navy_peacoat_onmodel+g004,46,4.0,3.67,3.33,3.67,3.67,3.67,V,3,4,5,4,3,3,3,4,4,4,3,4
dualuse_navy_peacoat_onmodel+g004,48,4.33,3.67,4.0,3.33,4.17,3.5,V,3,5,5,4,4,4,3,4,4,3,3,4
dualuse_navy_peacoat_onmodel+g030,46,3.67,4.0,3.33,3.33,3.5,3.67,BC,3,4,4,3,4,3,3,4,5,4,3,3
dualuse_navy_peacoat_onmodel+g030,47,4.0,3.67,3.33,3.33,3.67,3.5,V,3,4,5,3,4,3,3,4,4,3,4,3
dualuse_navy_peacoat_onmodel+g030,48,4.0,4.0,3.67,4.0,3.83,4.0,BC,3,4,5,4,4,3,3,4,5,4,4,4
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,47,4.33,4.33,4.0,4.0,4.17,4.17,tie,3,5,5,4,4,4,3,5,5,4,4,4
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,48,4.33,4.0,4.0,4.0,4.17,4.0,V,3,5,5,4,4,4,3,4,5,4,4,4
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,47,3.67,4.0,3.67,4.0,3.67,4.0,BC,2,4,5,3,4,4,3,4,5,4,4,4
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,48,3.67,4.0,3.0,3.67,3.33,3.83,BC,2,4,5,3,3,3,3,4,5,3,4,4
dualuse_queen_latifah_gown_stage+g012,47,4.0,4.33,3.67,4.0,3.83,4.17,BC,4,4,4,4,3,4,4,4,5,4,4,4
dualuse_queen_latifah_gown_stage+g012,48,4.67,4.33,4.0,4.0,4.33,4.17,V,4,5,5,4,4,4,4,4,5,4,4,4
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,46,4.0,3.67,3.67,3.67,3.83,3.67,V,3,4,5,4,3,4,3,4,4,4,3,4
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,48,3.33,4.0,3.33,3.33,3.33,3.67,BC,2,4,4,3,3,4,3,5,4,3,3,4
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,46,4.33,4.33,4.33,4.0,4.33,4.17,V,3,5,5,4,4,5,3,5,5,4,4,4
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,48,4.0,4.33,4.0,3.67,4.0,4.0,BC,3,4,5,4,4,4,3,5,5,3,4,4
dualuse_scarlett_johansson_black_dress_backview_night+g013,46,4.33,4.67,4.0,4.0,4.17,4.33,BC,4,4,5,4,4,4,4,5,5,4,4,4
dualuse_scarlett_johansson_black_dress_backview_night+g013,47,4.33,4.67,3.67,4.0,4.0,4.33,BC,4,4,5,4,3,4,4,5,5,4,4,4
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,4.67,4.0,4.0,4.0,4.33,4.0,V,4,5,5,4,4,4,4,4,4,4,4,4
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,3.67,4.0,4.33,4.33,4.0,4.17,BC,2,4,5,4,5,4,3,4,5,4,5,4
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,4.0,4.0,3.67,4.33,3.83,4.17,BC,3,4,5,3,4,4,3,4,5,4,5,4
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,47,4.0,3.67,3.33,2.67,3.67,3.17,V,3,4,5,3,3,4,2,4,5,3,2,3
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,4.0,4.0,4.0,3.67,4.0,3.83,V,3,4,5,3,5,4,3,4,5,3,5,3
dualuse_woman_top_denim_skirt_nonceleb+g014,46,4.0,3.67,4.33,4.0,4.17,3.83,V,3,4,5,4,5,4,3,4,4,3,5,4
dualuse_woman_top_denim_skirt_nonceleb+g014,47,4.67,4.0,4.33,4.33,4.5,4.17,V,4,5,5,4,5,4,4,4,4,4,5,4
dualuse_woman_top_denim_skirt_nonceleb+g014,48,4.0,4.0,4.33,3.67,4.17,3.83,V,3,4,5,4,5,4,3,4,5,3,5,3
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,46,4.0,3.67,4.0,4.0,4.0,3.83,V,3,4,5,4,4,4,3,4,4,4,4,4
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,47,3.67,3.67,3.67,3.67,3.67,3.67,tie,2,5,4,3,4,4,3,4,4,4,3,4
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,46,3.67,3.67,4.0,4.0,3.83,3.83,tie,3,4,4,4,4,4,3,4,4,4,4,4
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,47,3.33,3.67,4.0,4.0,3.67,3.83,BC,2,4,4,4,4,4,3,4,4,4,4,4
dualuse_zendaya_white_blazer_skirt+g015,46,4.33,4.67,4.0,4.0,4.17,4.33,BC,3,5,5,4,4,4,4,5,5,4,4,4
dualuse_zendaya_white_blazer_skirt+g015,47,3.67,4.67,3.67,4.0,3.67,4.33,BC,3,4,4,3,4,4,4,5,5,4,4,4
g004+g005,46,3.33,3.67,2.67,3.0,3.0,3.33,BC,2,4,4,2,4,2,3,4,4,2,4,3
g004+g005,47,4.0,4.0,3.67,4.0,3.83,4.0,BC,2,5,5,3,4,4,2,5,5,4,4,4
g004+g013,47,4.67,4.0,4.0,4.0,4.33,4.0,V,4,5,5,4,4,4,4,4,4,4,4,4
g004+p001,46,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g004+p001,47,4.33,4.67,4.0,4.0,4.17,4.33,BC,3,5,5,4,4,4,4,5,5,4,4,4
g005+g009,46,4.0,3.67,4.0,4.0,4.0,3.83,V,3,5,4,4,4,4,2,5,4,4,4,4
g005+g014,46,4.33,4.33,4.0,3.33,4.17,3.83,V,4,4,5,4,4,4,4,4,5,3,4,3
g005+g014,47,4.0,3.67,3.67,3.0,3.83,3.33,V,3,4,5,3,4,4,2,4,5,2,4,3
g005+p002,46,3.67,3.33,5.0,1.67,4.33,2.5,V,1,5,5,5,5,5,2,5,3,2,1,2
g005+p002,47,3.67,3.0,5.0,4.0,4.33,3.5,V,1,5,5,5,5,5,1,5,3,4,4,4
g009+g011,46,3.33,3.33,4.0,4.0,3.67,3.67,tie,2,4,4,4,4,4,2,4,4,4,4,4
g009+g011,47,4.0,4.33,4.0,4.0,4.0,4.17,BC,4,4,4,4,4,4,4,5,4,4,4,4
g009+g015,46,3.67,3.67,4.0,4.0,3.83,3.83,tie,2,4,5,4,4,4,2,4,5,4,4,4
g009+g015,47,3.33,3.67,3.67,4.0,3.5,3.83,BC,2,4,4,3,4,4,2,5,4,4,4,4
g011+g012,46,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g011+g012,47,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g011+g018,46,3.67,4.0,4.0,4.0,3.83,4.0,BC,2,4,5,4,4,4,2,5,5,4,4,4
g011+g018,47,4.0,4.0,4.0,4.0,4.0,4.0,tie,2,5,5,4,4,4,2,5,5,4,4,4
g011+p004,46,4.33,4.0,4.0,4.0,4.17,4.0,V,3,5,5,4,4,4,3,4,5,4,4,4
g011+p004,47,4.33,4.33,4.33,4.0,4.33,4.17,V,3,5,5,4,5,4,3,5,5,4,4,4
g012+g013,46,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g012+g013,47,4.67,4.33,4.0,4.0,4.33,4.17,V,4,5,5,4,4,4,4,4,5,4,4,4
g012+g024,47,4.0,4.33,4.0,4.0,4.0,4.17,BC,3,4,5,4,4,4,4,4,5,4,4,4
g012+p005,46,3.67,3.67,4.0,3.0,3.83,3.33,V,2,4,5,4,4,4,4,3,4,2,4,3
g012+p005,47,4.0,3.67,4.0,4.0,4.0,3.83,V,3,5,4,4,4,4,4,3,4,4,4,4
g013+g014,46,4.67,4.0,4.0,3.67,4.33,3.83,V,4,5,5,4,4,4,4,4,4,3,4,4
g013+g027,46,4.0,4.0,4.0,4.0,4.0,4.0,tie,3,4,5,4,4,4,3,4,5,4,4,4
g013+g027,47,4.0,4.0,4.0,3.67,4.0,3.83,V,3,4,5,4,4,4,3,4,5,3,4,4
g014+g015,46,4.33,4.33,4.67,4.33,4.5,4.33,V,3,5,5,5,5,4,3,5,5,4,5,4
g014+g029,46,4.33,4.0,4.0,4.0,4.17,4.0,V,3,5,5,4,4,4,2,5,5,4,4,4
g014+g029,47,3.0,3.67,4.0,4.0,3.5,3.83,BC,2,4,3,4,4,4,3,4,4,4,4,4
g014+p007,46,4.0,3.67,4.0,4.0,4.0,3.83,V,2,5,5,4,4,4,3,4,4,4,4,4
g015+g018,46,3.33,3.33,4.0,3.67,3.67,3.5,V,2,4,4,4,4,4,2,4,4,4,3,4
g015+g030,46,3.67,3.67,4.0,3.33,3.83,3.5,V,2,4,5,4,4,4,2,4,5,3,4,3
g015+g030,47,4.33,3.67,4.0,4.0,4.17,3.83,V,3,5,5,4,4,4,2,4,5,4,4,4
g015+p008,46,4.0,4.0,3.67,3.33,3.83,3.67,V,3,4,5,4,3,4,3,4,5,3,4,3
g018+g024,46,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g018+g024,47,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g018+p001,46,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
g018+p001,47,4.67,4.67,4.67,4.0,4.67,4.33,V,4,5,5,4,5,5,4,5,5,4,4,4
g018+p009,47,4.0,3.67,4.0,4.0,4.0,3.83,V,2,5,5,4,4,4,3,4,4,4,4,4
g024+g027,46,3.67,4.0,3.0,3.67,3.33,3.83,BC,3,4,4,3,2,4,4,4,4,4,3,4
g024+g027,47,3.67,3.67,3.33,3.33,3.5,3.5,tie,3,4,4,3,3,4,3,4,4,3,3,4
g024+p002,46,3.67,4.0,3.67,4.0,3.67,4.0,BC,2,5,4,4,3,4,2,5,5,4,4,4
g024+p002,47,3.33,4.0,3.33,3.67,3.33,3.83,BC,2,4,4,3,4,3,4,4,4,4,3,4
g024+p010,46,3.0,3.67,3.33,3.33,3.17,3.5,BC,2,4,3,3,4,3,2,4,5,3,4,3
g024+p010,47,3.33,3.67,3.0,3.0,3.17,3.33,BC,2,4,4,3,3,3,4,4,3,3,2,4
g027+p003,46,4.67,3.33,4.33,3.67,4.5,3.5,V,4,5,5,4,5,4,2,4,4,3,5,3
g027+p003,47,3.0,4.0,3.0,3.67,3.0,3.83,BC,4,3,2,3,3,3,4,3,5,3,5,3
g027+p011,47,3.0,3.0,3.67,2.67,3.33,2.83,V,2,4,3,4,3,4,2,4,3,3,2,3
g029+g030,46,3.67,3.33,3.33,4.0,3.5,3.67,V,3,4,4,3,4,3,2,4,4,4,4,4
g029+p012,46,4.0,3.0,3.67,3.67,3.83,3.33,V,4,4,4,3,4,4,2,3,4,3,4,4
g030+p001,46,4.33,4.33,4.33,4.33,4.33,4.33,tie,4,5,4,4,5,4,4,5,4,4,5,4
g030+p001,47,4.33,4.33,4.33,4.0,4.33,4.17,V,4,5,4,4,5,4,4,5,4,4,4,4
g030+p005,46,4.0,4.0,4.33,4.0,4.17,4.0,V,4,4,4,4,5,4,4,4,4,3,5,4
g030+p005,47,3.33,3.67,3.0,3.67,3.17,3.67,BC,4,4,2,3,2,4,4,4,3,4,3,4
g030+p013,46,4.33,3.33,4.0,3.33,4.17,3.33,V,4,5,4,4,4,4,2,4,4,3,4,3
g030+p013,47,4.67,1.67,4.67,1.67,4.67,1.67,V,4,5,5,4,5,5,3,1,1,1,2,2
p001+p002,46,3.67,3.33,4.0,3.67,3.83,3.5,V,2,4,5,4,4,4,3,4,3,3,4,4
p001+p002,47,3.67,3.67,4.0,3.67,3.83,3.67,V,2,4,5,4,4,4,4,4,3,4,3,4
p001+p006,47,3.67,4.0,4.0,4.0,3.83,4.0,BC,3,4,4,4,4,4,3,4,5,4,4,4
p001+p014,46,3.67,4.67,3.33,4.33,3.5,4.5,BC,2,4,5,3,4,3,4,5,5,4,4,5
p001+p014,47,4.67,4.33,4.33,4.0,4.5,4.17,V,4,5,5,4,4,5,3,5,5,4,4,4
p001+p024,46,4.0,4.33,4.0,4.0,4.0,4.17,BC,2,5,5,4,4,4,3,5,5,4,4,4
p001+p024,47,3.67,3.67,4.0,4.0,3.83,3.83,tie,2,4,5,4,4,4,2,4,5,4,4,4
p002+p003,47,4.0,4.33,4.0,4.0,4.0,4.17,BC,3,4,5,4,4,4,4,4,5,4,4,4
p002+p007,46,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
p002+p007,47,4.67,4.67,4.0,4.0,4.33,4.33,tie,4,5,5,4,4,4,4,5,5,4,4,4
p002+p015,46,4.67,4.33,4.0,4.0,4.33,4.17,V,4,5,5,4,4,4,3,5,5,4,4,4
p002+p015,47,4.0,4.0,3.67,3.67,3.83,3.83,tie,3,4,5,4,3,4,3,4,5,4,3,4
p003+p004,46,3.67,3.67,4.0,3.67,3.83,3.67,V,2,4,5,4,4,4,2,4,5,4,3,4
p003+p004,47,4.67,3.0,4.0,3.67,4.33,3.33,V,4,5,5,4,4,4,2,2,5,4,4,3
p003+p008,46,4.0,4.0,3.0,3.33,3.5,3.67,BC,4,4,4,3,3,3,4,4,4,3,3,4
p003+p008,47,4.0,3.67,3.67,3.0,3.83,3.33,V,3,4,5,4,3,4,3,4,4,3,3,3
p003+p016,47,3.67,3.67,3.33,4.0,3.5,3.83,BC,3,4,4,3,4,3,4,4,3,4,4,4
p003+p026,46,3.67,3.67,3.67,3.33,3.67,3.5,V,3,4,4,4,3,4,3,4,4,3,3,4
p003+p026,47,3.67,3.67,4.0,3.0,3.83,3.33,V,3,4,4,4,4,4,3,4,4,3,3,3
p004+p005,47,4.0,4.33,4.33,4.33,4.17,4.33,BC,4,4,4,4,5,4,4,4,5,4,5,4
p004+p017,46,4.67,4.33,4.33,4.33,4.5,4.33,V,4,5,5,4,5,4,4,4,5,4,5,4
p004+p017,47,4.33,4.33,4.33,4.33,4.33,4.33,tie,4,4,5,4,5,4,4,4,5,4,5,4
p004+p027,46,4.0,4.0,4.33,4.33,4.17,4.17,tie,4,4,4,4,5,4,4,4,4,4,5,4
p004+p027,47,4.0,4.67,4.0,4.0,4.0,4.33,BC,4,4,4,4,4,4,4,5,5,4,4,4
p005+p006,46,3.33,3.67,3.33,4.0,3.33,3.83,BC,3,4,3,3,3,4,3,4,4,4,4,4
p005+p006,47,3.67,3.67,3.67,4.0,3.67,3.83,BC,3,4,4,4,3,4,3,4,4,4,4,4
p005+p010,47,3.67,4.0,4.0,4.0,3.83,4.0,BC,3,4,4,4,4,4,4,4,4,4,4,4
p005+p018,46,4.33,3.33,4.0,4.0,4.17,3.67,V,4,4,5,4,4,4,3,4,3,4,4,4
p005+p018,47,3.33,3.67,4.0,4.0,3.67,3.83,BC,3,4,3,4,4,4,4,4,3,4,4,4
p005+p028,46,3.67,4.33,3.67,4.0,3.67,4.17,BC,3,4,4,4,3,4,4,4,5,4,4,4
p005+p028,47,3.67,4.0,4.0,3.67,3.83,3.83,BC,3,4,4,4,4,4,4,4,4,4,3,4
