set_id,seed,vote,nudge
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,46,tie,
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,47,tie,
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,48,tie,
dualuse_lp_beige_long_coat_menswear+g004,46,tie,
dualuse_lp_beige_long_coat_menswear+g004,47,tie,
dualuse_lp_beige_long_coat_menswear+g004,48,B,
dualuse_lp_beige_long_coat_menswear+g018,46,tie,
dualuse_lp_beige_long_coat_menswear+g018,47,tie,
dualuse_lp_beige_long_coat_menswear+g018,48,tie,
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,46,tie,
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,47,tie,
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,48,tie,
dualuse_lp_floral_kimono_set+g005,46,fail,
dualuse_lp_floral_kimono_set+g005,47,fail,
dualuse_lp_floral_kimono_set+g005,48,fail,
dualuse_lp_floral_kimono_set+g024,46,fail,
dualuse_lp_floral_kimono_set+g024,47,fail,
dualuse_lp_floral_kimono_set+g024,48,fail,
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,46,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,47,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,48,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,46,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,47,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,48,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,46,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,47,tie,
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,48,tie,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,46,tie,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,47,tie,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,48,tie,
dualuse_lp_plaid_overcoat_brown_suit+g011,46,tie,
dualuse_lp_plaid_overcoat_brown_suit+g011,47,tie,
dualuse_lp_plaid_overcoat_brown_suit+g011,48,tie,
dualuse_lp_plaid_overcoat_brown_suit+g029,46,tie,
dualuse_lp_plaid_overcoat_brown_suit+g029,47,A,
dualuse_lp_plaid_overcoat_brown_suit+g029,48,A,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,46,tie,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,47,tie,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,48,tie,
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,46,tie,
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,47,tie,
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,48,tie,
dualuse_man_black_suit_studio_nonceleb+g011,46,tie,
dualuse_man_black_suit_studio_nonceleb+g011,47,tie,
dualuse_man_black_suit_studio_nonceleb+g011,48,tie,
dualuse_navy_peacoat_onmodel+g004,46,tie,
dualuse_navy_peacoat_onmodel+g004,47,tie,
dualuse_navy_peacoat_onmodel+g004,48,tie,
dualuse_navy_peacoat_onmodel+g012,46,tie,
dualuse_navy_peacoat_onmodel+g012,47,B,ok
dualuse_navy_peacoat_onmodel+g012,48,B,ok
dualuse_navy_peacoat_onmodel+g030,46,A,
dualuse_navy_peacoat_onmodel+g030,47,tie,
dualuse_navy_peacoat_onmodel+g030,48,tie,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,46,tie,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,47,tie,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,48,tie,
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,46,tie,
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,47,tie,
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,48,tie,
dualuse_queen_latifah_gown_stage+g012,46,tie,
dualuse_queen_latifah_gown_stage+g012,47,tie,
dualuse_queen_latifah_gown_stage+g012,48,tie,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,46,tie,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,47,tie,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,48,tie,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,46,B,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,B,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,48,tie,
dualuse_scarlett_johansson_black_dress_backview_night+g013,46,tie,
dualuse_scarlett_johansson_black_dress_backview_night+g013,47,tie,
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,tie,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,46,tie,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,tie,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,48,tie,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,fail,ok
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,47,fail,ok
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,fail,ok
dualuse_woman_top_denim_skirt_nonceleb+g014,46,tie,
dualuse_woman_top_denim_skirt_nonceleb+g014,47,tie,
dualuse_woman_top_denim_skirt_nonceleb+g014,48,tie,
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,46,tie,
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,47,tie,
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,48,tie,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,46,tie,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,47,tie,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,48,B,
dualuse_zendaya_white_blazer_skirt+g015,46,tie,
dualuse_zendaya_white_blazer_skirt+g015,47,tie,
dualuse_zendaya_white_blazer_skirt+g015,48,tie,
g004+g005,46,fail,
g004+g005,47,fail,
g004+g005,48,A,
g004+g013,46,tie,
g004+g013,47,tie,
g004+g013,48,tie,
g004+p001,46,A,
g004+p001,47,tie,
g004+p001,48,tie,
g005+g009,46,tie,
g005+g009,47,tie,
g005+g009,48,B,
g005+g014,46,tie,
g005+g014,47,fail,
g005+g014,48,A,
g005+p002,46,B,
g005+p002,47,B,
g005+p002,48,tie,
g009+g011,46,tie,
g009+g011,47,tie,
g009+g011,48,tie,
g009+g015,46,tie,
g009+g015,47,tie,
g009+g015,48,tie,
g009+p003,46,tie,
g009+p003,47,tie,
g009+p003,48,tie,
g011+g012,46,tie,
g011+g012,47,tie,
g011+g012,48,tie,
g011+g018,46,tie,
g011+g018,47,tie,
g011+g018,48,tie,
g011+p004,46,tie,
g011+p004,47,tie,
g011+p004,48,tie,
g012+g013,46,tie,
g012+g013,47,tie,
g012+g013,48,tie,
g012+g024,46,tie,
g012+g024,47,tie,
g012+g024,48,tie,
g012+p005,46,B,
g012+p005,47,B,
g012+p005,48,B,
g013+g014,46,B,
g013+g014,47,B,
g013+g014,48,B,
g013+g027,46,B,
g013+g027,47,tie,
g013+g027,48,tie,
g013+p006,46,tie,
g013+p006,47,A,
g013+p006,48,tie,
g014+g015,46,tie,
g014+g015,47,tie,
g014+g015,48,tie,
g014+g029,46,B,ok
g014+g029,47,tie,
g014+g029,48,B,
g014+p007,46,tie,
g014+p007,47,tie,
g014+p007,48,tie,
g015+g018,46,tie,
g015+g018,47,tie,
g015+g018,48,B,
g015+g030,46,B,
g015+g030,47,B,
g015+g030,48,B,
g015+p008,46,tie,
g015+p008,47,tie,
g015+p008,48,B,
g018+g024,46,tie,
g018+g024,47,B,
g018+g024,48,tie,
g018+p001,46,tie,
g018+p001,47,tie,
g018+p001,48,tie,
g018+p009,46,tie,
g018+p009,47,tie,
g018+p009,48,tie,
g024+g027,46,tie,
g024+g027,47,tie,
g024+g027,48,tie,
g024+p002,46,tie,
g024+p002,47,tie,
g024+p002,48,fail,
g024+p010,46,tie,
g024+p010,47,A,
g024+p010,48,A,
g027+g029,46,tie,
g027+g029,47,tie,
g027+g029,48,B,ok
g027+p003,46,A,
g027+p003,47,B,
g027+p003,48,tie,
g027+p011,46,A,
g027+p011,47,A,
g027+p011,48,tie,
g029+g030,46,tie,
g029+g030,47,A,
g029+g030,48,A,
g029+p004,46,fail,
g029+p004,47,B,
g029+p004,48,fail,
g029+p012,46,tie,
g029+p012,47,A,
g029+p012,48,A,
g030+p001,46,tie,
g030+p001,47,tie,
g030+p001,48,tie,
g030+p005,46,tie,
g030+p005,47,tie,
g030+p005,48,tie,
g030+p013,46,tie,
g030+p013,47,A,
g030+p013,48,A,
p001+p002,46,A,
p001+p002,47,A,
p001+p002,48,tie,
p001+p006,46,tie,
p001+p006,47,tie,
p001+p006,48,tie,
p001+p014,46,B,
p001+p014,47,tie,
p001+p014,48,A,
p001+p024,46,tie,
p001+p024,47,tie,
p001+p024,48,tie,
p002+p003,46,tie,
p002+p003,47,tie,
p002+p003,48,tie,
p002+p007,46,tie,
p002+p007,47,tie,
p002+p007,48,tie,
p002+p015,46,tie,
p002+p015,47,tie,
p002+p015,48,tie,
p002+p025,46,tie,
p002+p025,47,tie,
p002+p025,48,tie,
p003+p004,46,A,ok
p003+p004,47,B,
p003+p004,48,B,
p003+p008,46,tie,
p003+p008,47,tie,
p003+p008,48,tie,
p003+p016,46,tie,
p003+p016,47,tie,
p003+p016,48,tie,
p003+p026,46,tie,
p003+p026,47,A,
p003+p026,48,tie,
p004+p005,46,tie,
p004+p005,47,tie,
p004+p005,48,tie,
p004+p009,46,A,
p004+p009,47,A,
p004+p009,48,tie,
p004+p017,46,tie,
p004+p017,47,tie,
p004+p017,48,tie,
p004+p027,46,tie,
p004+p027,47,tie,
p004+p027,48,tie,
p005+p006,46,tie,
p005+p006,47,tie,
p005+p006,48,tie,
p005+p010,46,tie,
p005+p010,47,tie,
p005+p010,48,tie,
p005+p018,46,tie,
p005+p018,47,tie,
p005+p018,48,tie,
p005+p028,46,tie,
p005+p028,47,tie,
p005+p028,48,A,
p006+p007,46,tie,
p006+p007,47,tie,
p006+p007,48,tie,
p006+p011,46,B,
p006+p011,47,tie,
p006+p011,48,B,
p006+p019,46,tie,
p006+p019,47,tie,
p006+p019,48,tie,
p006+p029,46,B,
p006+p029,47,tie,
p006+p029,48,B,
p007+p008,46,tie,
p007+p008,47,tie,
p007+p008,48,tie,
p007+p012,46,tie,
p007+p012,47,tie,
p007+p012,48,tie,
p007+p020,46,tie,
p007+p020,47,tie,
p007+p020,48,tie,
p007+p030,46,tie,
p007+p030,47,tie,
p007+p030,48,tie,
p008+dualuse_emma_watson_black_blazer_armscrossed,46,A,
p008+dualuse_emma_watson_black_blazer_armscrossed,47,tie,
p008+dualuse_emma_watson_black_blazer_armscrossed,48,tie,
p008+p009,46,A,
p008+p009,47,tie,
p008+p009,48,A,
p008+p013,46,A,
p008+p013,47,A,
p008+p013,48,A,
p008+p021,46,B,
p008+p021,47,tie,
p008+p021,48,B,
p009+dualuse_gal_gadot_blue_dress_redcarpet,46,tie,
p009+dualuse_gal_gadot_blue_dress_redcarpet,47,tie,
p009+dualuse_gal_gadot_blue_dress_redcarpet,48,tie,
p009+p010,46,tie,
p009+p010,47,tie,
p009+p010,48,tie,
p009+p014,46,tie,
p009+p014,47,tie,
p009+p014,48,tie,
p009+p022,46,tie,
p009+p022,47,tie,
p009+p022,48,tie,
p010+dualuse_hugh_jackman_grey_suit_outdoor,46,tie,
p010+dualuse_hugh_jackman_grey_suit_outdoor,47,tie,
p010+dualuse_hugh_jackman_grey_suit_outdoor,48,tie,
p010+p011,46,tie,
p010+p011,47,tie,
p010+p011,48,tie,
p010+p015,46,tie,
p010+p015,47,tie,
p010+p015,48,tie,
p010+p023,46,tie,
p010+p023,47,tie,
p010+p023,48,tie,
p011+dualuse_man_black_suit_studio_nonceleb,46,tie,
p011+dualuse_man_black_suit_studio_nonceleb,47,tie,
p011+dualuse_man_black_suit_studio_nonceleb,48,tie,
p011+p012,46,tie,
p011+p012,47,A,ok
p011+p012,48,A,ok
p011+p016,46,tie,
p011+p016,47,A,ok
p011+p016,48,A,
p011+p024,46,B,
p011+p024,47,fail,
p011+p024,48,B,
p012+dualuse_queen_latifah_gown_stage,46,tie,
p012+dualuse_queen_latifah_gown_stage,47,tie,
p012+dualuse_queen_latifah_gown_stage,48,tie,
p012+p013,46,A,
p012+p013,47,A,
p012+p013,48,tie,
p012+p017,46,tie,
p012+p017,47,tie,
p012+p017,48,tie,
p012+p025,46,tie,
p012+p025,47,tie,
p012+p025,48,tie,
p013+dualuse_scarlett_johansson_black_dress_backview_night,46,A,
p013+dualuse_scarlett_johansson_black_dress_backview_night,47,B,
p013+dualuse_scarlett_johansson_black_dress_backview_night,48,tie,
p013+p014,46,A,
p013+p014,47,tie,
p013+p014,48,tie,
p013+p018,46,tie,
p013+p018,47,tie,
p013+p018,48,tie,
p013+p026,46,tie,
p013+p026,47,tie,
p013+p026,48,tie,
p014+dualuse_woman_top_denim_skirt_nonceleb,46,tie,
p014+dualuse_woman_top_denim_skirt_nonceleb,47,B,
p014+dualuse_woman_top_denim_skirt_nonceleb,48,B,
p014+p015,46,tie,
p014+p015,47,tie,
p014+p015,48,tie,
p014+p019,46,tie,
p014+p019,47,tie,
p014+p019,48,tie,
p014+p027,46,tie,
p014+p027,47,tie,
p014+p027,48,tie,
p015+dualuse_zendaya_white_blazer_skirt,46,tie,
p015+dualuse_zendaya_white_blazer_skirt,47,tie,
p015+dualuse_zendaya_white_blazer_skirt,48,fail,
p015+p016,46,B,
p015+p016,47,A,
p015+p016,48,B,
p015+p020,46,tie,
p015+p020,47,tie,
p015+p020,48,tie,
p015+p028,46,tie,
p015+p028,47,tie,
p015+p028,48,B,
p016+dualuse_lp_beige_long_coat_menswear,46,tie,
p016+dualuse_lp_beige_long_coat_menswear,47,tie,
p016+dualuse_lp_beige_long_coat_menswear,48,tie,
p016+p017,46,tie,
p016+p017,47,tie,
p016+p017,48,B,
p016+p021,46,tie,
p016+p021,47,tie,
p016+p021,48,tie,
p016+p029,46,tie,
p016+p029,47,A,
p016+p029,48,A,
p017+dualuse_lp_floral_kimono_set,46,tie,
p017+dualuse_lp_floral_kimono_set,47,tie,
p017+dualuse_lp_floral_kimono_set,48,tie,
p017+p018,46,tie,
p017+p018,47,tie,
p017+p018,48,tie,
p017+p022,46,tie,
p017+p022,47,tie,
p017+p022,48,tie,
p017+p030,46,A,
p017+p030,47,A,
p017+p030,48,A,
p018+dualuse_emma_watson_black_blazer_armscrossed,46,A,
p018+dualuse_emma_watson_black_blazer_armscrossed,47,tie,
p018+dualuse_emma_watson_black_blazer_armscrossed,48,A,
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,46,tie,
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,47,tie,
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,48,fail,
p018+p019,46,tie,
p018+p019,47,tie,
p018+p019,48,tie,
p018+p023,46,tie,
p018+p023,47,tie,
p018+p023,48,tie,
p019+dualuse_gal_gadot_blue_dress_redcarpet,46,tie,
p019+dualuse_gal_gadot_blue_dress_redcarpet,47,A,
p019+dualuse_gal_gadot_blue_dress_redcarpet,48,fail,
p019+dualuse_lp_plaid_overcoat_brown_suit,46,tie,
p019+dualuse_lp_plaid_overcoat_brown_suit,47,tie,
p019+dualuse_lp_plaid_overcoat_brown_suit,48,tie,
p019+p020,46,tie,
p019+p020,47,tie,
p019+p020,48,tie,
p019+p024,46,tie,
p019+p024,47,tie,
p019+p024,48,tie,
p020+dualuse_hugh_jackman_grey_suit_outdoor,46,tie,
p020+dualuse_hugh_jackman_grey_suit_outdoor,48,tie,
p020+dualuse_navy_peacoat_onmodel,46,tie,
p020+dualuse_navy_peacoat_onmodel,47,tie,
p020+dualuse_navy_peacoat_onmodel,48,fail,
p020+p021,46,tie,
p020+p021,47,tie,
p020+p021,48,fail,
p020+p025,46,tie,
p020+p025,47,tie,
p020+p025,48,tie,
p021+dualuse_man_black_suit_studio_nonceleb,46,tie,
p021+dualuse_man_black_suit_studio_nonceleb,47,tie,
p021+dualuse_man_black_suit_studio_nonceleb,48,B,
p021+g004,46,tie,
p021+g004,47,tie,
p021+g004,48,tie,
p021+p022,46,tie,
p021+p022,47,tie,
p021+p022,48,tie,
p021+p026,46,tie,
p021+p026,47,tie,
p021+p026,48,tie,
p022+dualuse_queen_latifah_gown_stage,46,tie,
p022+dualuse_queen_latifah_gown_stage,47,tie,
p022+dualuse_queen_latifah_gown_stage,48,tie,
p022+g005,46,tie,
p022+g005,47,tie,
p022+g005,48,tie,
p022+p023,46,tie,
p022+p023,47,tie,
p022+p023,48,tie,
p022+p027,46,tie,
p022+p027,47,tie,
p022+p027,48,tie,
p023+dualuse_scarlett_johansson_black_dress_backview_night,46,tie,
p023+dualuse_scarlett_johansson_black_dress_backview_night,47,tie,
p023+dualuse_scarlett_johansson_black_dress_backview_night,48,tie,
p023+g009,46,tie,
p023+g009,47,tie,
p023+g009,48,tie,
p023+p024,46,tie,
p023+p024,47,tie,
p023+p024,48,tie,
p023+p028,46,tie,
p023+p028,47,tie,
p023+p028,48,tie,
p024+dualuse_woman_top_denim_skirt_nonceleb,46,tie,
p024+dualuse_woman_top_denim_skirt_nonceleb,47,A,
p024+dualuse_woman_top_denim_skirt_nonceleb,48,A,
p024+g011,46,tie,
p024+g011,47,tie,
p024+g011,48,tie,
p024+p025,46,tie,
p024+p025,47,tie,
p024+p025,48,tie,
p024+p029,46,tie,
p024+p029,47,tie,
p024+p029,48,tie,
p025+dualuse_zendaya_white_blazer_skirt,46,tie,
p025+dualuse_zendaya_white_blazer_skirt,47,tie,
p025+dualuse_zendaya_white_blazer_skirt,48,fail,
p025+g012,46,tie,
p025+g012,47,tie,
p025+g012,48,tie,
p025+p026,46,tie,
p025+p026,47,tie,
p025+p026,48,tie,
p025+p030,46,tie,
p025+p030,47,tie,
p025+p030,48,tie,
p026+dualuse_emma_watson_black_blazer_armscrossed,46,tie,
p026+dualuse_emma_watson_black_blazer_armscrossed,47,tie,
p026+dualuse_emma_watson_black_blazer_armscrossed,48,tie,
p026+dualuse_lp_beige_long_coat_menswear,46,A,
p026+dualuse_lp_beige_long_coat_menswear,47,tie,
p026+dualuse_lp_beige_long_coat_menswear,48,tie,
p026+g013,46,tie,
p026+g013,47,B,
p026+g013,48,tie,
p026+p027,46,tie,
p026+p027,47,tie,
p026+p027,48,tie,
p027+dualuse_gal_gadot_blue_dress_redcarpet,46,tie,
p027+dualuse_gal_gadot_blue_dress_redcarpet,47,tie,
p027+dualuse_gal_gadot_blue_dress_redcarpet,48,tie,
p027+dualuse_lp_floral_kimono_set,46,tie,
p027+dualuse_lp_floral_kimono_set,47,tie,
p027+dualuse_lp_floral_kimono_set,48,tie,
p027+g014,46,tie,
p027+g014,47,tie,
p027+g014,48,tie,
p027+p028,46,B,
p027+p028,47,B,
p027+p028,48,B,
p028+dualuse_hugh_jackman_grey_suit_outdoor,46,tie,
p028+dualuse_hugh_jackman_grey_suit_outdoor,47,tie,
p028+dualuse_hugh_jackman_grey_suit_outdoor,48,tie,
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,46,tie,
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,47,tie,
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,48,tie,
p028+g015,46,tie,
p028+g015,47,fail,
p028+g015,48,tie,
p028+p029,46,B,
p028+p029,47,B,
p028+p029,48,tie,
p029+dualuse_lp_plaid_overcoat_brown_suit,46,tie,
p029+dualuse_lp_plaid_overcoat_brown_suit,47,tie,
p029+dualuse_lp_plaid_overcoat_brown_suit,48,tie,
p029+dualuse_man_black_suit_studio_nonceleb,46,tie,
p029+dualuse_man_black_suit_studio_nonceleb,47,tie,
p029+dualuse_man_black_suit_studio_nonceleb,48,tie,
p029+g018,46,tie,
p029+g018,47,tie,
p029+g018,48,tie,
p029+p030,46,B,
p029+p030,47,B,
p029+p030,48,tie,
p030+dualuse_emma_watson_black_blazer_armscrossed,46,A,
p030+dualuse_emma_watson_black_blazer_armscrossed,47,tie,
p030+dualuse_emma_watson_black_blazer_armscrossed,48,tie,
p030+dualuse_navy_peacoat_onmodel,46,tie,
p030+dualuse_navy_peacoat_onmodel,47,tie,
p030+dualuse_navy_peacoat_onmodel,48,tie,
p030+dualuse_queen_latifah_gown_stage,46,B,
p030+dualuse_queen_latifah_gown_stage,47,A,
p030+dualuse_queen_latifah_gown_stage,48,A,
p030+g024,46,B,
p030+g024,47,tie,
p030+g024,48,tie,
