set_id,first_arm,a,b,a_tier,b_tier,truth,escalates,pick_ab,pick_ba,consistent,raw
p017+p002,PHEAD,outputs/p017+p002__PHEAD.jpg,outputs/p017+p002__QX_qwen_p1.jpg,perfect,fail,A,False,B,A,False,"['TWO', 'TWO']"
p019+p010,PHEAD,outputs/p019+p010__PHEAD.jpg,outputs/p019+p010__QX_qwen_p1.jpg,perfect,ok,A,False,A,B,False,"['ONE', 'ONE']"
dualuse_queen_latifah_gown_stage+p006,PHEAD,outputs/dualuse_queen_latifah_gown_stage+p006__PHEAD.jpg,outputs/dualuse_queen_latifah_gown_stage+p006__QX_qwen_p1.jpg,perfect,perfect,,False,A,A,True,"['ONE', 'TWO']"
p009+p018,PHEAD,outputs/p009+p018__PHEAD.jpg,outputs/p009+p018__QX_qwen_p1.jpg,perfect,ok,A,False,B,A,False,"['TWO', 'TWO']"
p007+p030,PHEAD,outputs/p007+p030__PHEAD.jpg,outputs/p007+p030__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
p026+p004,PHEAD,outputs/p026+p004__PHEAD.jpg,outputs/p026+p004__QX_qwen_p1.jpg,perfect,ok,A,False,A,B,False,"['ONE', 'ONE']"
p009+p014,PHEAD,outputs/p009+p014__PHEAD.jpg,outputs/p009+p014__QX_qwen_p1.jpg,perfect,ok,A,False,B,A,False,"['TWO', 'TWO']"
HD_p021,BC_klein,outputs/HD_p021__BC_klein.jpg,outputs/HD_p021__QX_qwen_p1.jpg,perfect,ok,A,False,A,B,False,"['ONE', 'ONE']"
HD_p023,BC_klein,outputs/HD_p023__BC_klein.jpg,outputs/HD_p023__QX_qwen_p1.jpg,fail,perfect,B,True,B,B,True,"['TWO', 'ONE']"
HD_dualuse_zendaya_white_blazer_skirt,BC_klein,outputs/HD_dualuse_zendaya_white_blazer_skirt__BC_klein.jpg,outputs/HD_dualuse_zendaya_white_blazer_skirt__QX_qwen_p1.jpg,perfect,perfect,,False,A,A,True,"['ONE', 'TWO']"
HD_p019,PHEAD,outputs/HD_p019__PHEAD.jpg,outputs/HD_p019__QX_qwen_p1.jpg,perfect,perfect,,False,B,B,True,"['TWO', 'ONE']"
HD_p028,PHEAD,outputs/HD_p028__PHEAD.jpg,outputs/HD_p028__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
HD_p009,PHEAD,outputs/HD_p009__PHEAD.jpg,outputs/HD_p009__QX_qwen_p1.jpg,perfect,ok,A,False,A,B,False,"['ONE', 'ONE']"
HD_p021+dualuse_hugh_jackman_grey_suit_outdoor,BC_klein,outputs/HD_p021+dualuse_hugh_jackman_grey_suit_outdoor__BC_klein.jpg,outputs/HD_p021+dualuse_hugh_jackman_grey_suit_outdoor__QX_qwen_p1.jpg,perfect,ok,A,False,A,A,True,"['ONE', 'TWO']"
HD_p021+p009,BC_klein,outputs/HD_p021+p009__BC_klein.jpg,outputs/HD_p021+p009__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
HD_p023+dualuse_queen_latifah_gown_stage,BC_klein,outputs/HD_p023+dualuse_queen_latifah_gown_stage__BC_klein.jpg,outputs/HD_p023+dualuse_queen_latifah_gown_stage__QX_qwen_p1.jpg,ok,perfect,B,False,B,A,False,"['TWO', 'TWO']"
HD_p023+p019,BC_klein,outputs/HD_p023+p019__BC_klein.jpg,outputs/HD_p023+p019__QX_qwen_p1.jpg,fail,ok,B,True,A,B,False,"['ONE', 'ONE']"
HD_dualuse_zendaya_white_blazer_skirt+p017,BC_klein,outputs/HD_dualuse_zendaya_white_blazer_skirt+p017__BC_klein.jpg,outputs/HD_dualuse_zendaya_white_blazer_skirt+p017__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,BC_klein,outputs/HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear__BC_klein.jpg,outputs/HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
HD_p019+dualuse_hugh_jackman_grey_suit_outdoor,PHEAD,outputs/HD_p019+dualuse_hugh_jackman_grey_suit_outdoor__PHEAD.jpg,outputs/HD_p019+dualuse_hugh_jackman_grey_suit_outdoor__QX_qwen_p1.jpg,ok,perfect,B,False,A,B,False,"['ONE', 'ONE']"
HD_p019+p009,PHEAD,outputs/HD_p019+p009__PHEAD.jpg,outputs/HD_p019+p009__QX_qwen_p1.jpg,ok,ok,,False,B,B,True,"['TWO', 'ONE']"
HD_p028+dualuse_navy_peacoat_onmodel,PHEAD,outputs/HD_p028+dualuse_navy_peacoat_onmodel__PHEAD.jpg,outputs/HD_p028+dualuse_navy_peacoat_onmodel__QX_qwen_p1.jpg,fail,perfect,B,True,A,A,True,"['ONE', 'TWO']"
HD_p028+p019,PHEAD,outputs/HD_p028+p019__PHEAD.jpg,outputs/HD_p028+p019__QX_qwen_p1.jpg,perfect,perfect,,False,A,A,True,"['ONE', 'TWO']"
HD_p009+p018,PHEAD,outputs/HD_p009+p018__PHEAD.jpg,outputs/HD_p009+p018__QX_qwen_p1.jpg,perfect,ok,A,False,B,B,True,"['TWO', 'ONE']"
HD_p009+dualuse_man_black_suit_studio_nonceleb,PHEAD,outputs/HD_p009+dualuse_man_black_suit_studio_nonceleb__PHEAD.jpg,outputs/HD_p009+dualuse_man_black_suit_studio_nonceleb__QX_qwen_p1.jpg,perfect,perfect,,False,B,A,False,"['TWO', 'TWO']"
