"set_id","condition","person","garment","arm","order_position","generations_cumulative","tier","ships","reached","hair_over_garment","gate_score","chk_degenerate","chk_noop","chk_people","chk_identity","chk_background","amt_tier_old","binary_usable_old"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","QX_qwen_p1","3","5","ok","0","0","0.0984","0.5130","1","0.513","1","1","1","ok",""
"dualuse_hugh_jackman_grey_suit_outdoor+p007","low","dualuse_hugh_jackman_grey_suit_outdoor","p007","PHEAD","1","1","perfect","1","1","0.0455","1.0000","1","1","1","1","1","perfect",""
"dualuse_hugh_jackman_grey_suit_outdoor+p007","low","dualuse_hugh_jackman_grey_suit_outdoor","p007","BC_klein","2","3","perfect","0","0","0.0455","1.0000","1","1","1","1","1","perfect",""
"dualuse_hugh_jackman_grey_suit_outdoor+p007","low","dualuse_hugh_jackman_grey_suit_outdoor","p007","QX_qwen_p1","3","5","ok","0","0","0.0455","1.0000","1","1","1","1","1","ok",""
"dualuse_navy_peacoat_onmodel+p012","low","dualuse_navy_peacoat_onmodel","p012","PHEAD","1","1","fail","0","1","0.1398","0.7300","0.802","0.73","1","1","1","ok",""
"dualuse_navy_peacoat_onmodel+p012","low","dualuse_navy_peacoat_onmodel","p012","BC_klein","2","3","fail","0","1","0.1398","0.7280","0.822","0.728","1","1","1","ok",""
"dualuse_navy_peacoat_onmodel+p012","low","dualuse_navy_peacoat_onmodel","p012","QX_qwen_p1","3","5","perfect","1","1","0.1398","0.5860","0.757","0.586","1","1","1","perfect",""
"p018+p016","low","p018","p016","PHEAD","1","1","fail","0","1","0.0969","0.6730","0.673","1","1","1","1","fail",""
"p018+p016","low","p018","p016","BC_klein","2","3","ok","0","1","0.0969","0.4360","0.436","1","1","1","1","ok",""
"p018+p016","low","p018","p016","QX_qwen_p1","3","5","perfect","1","1","0.0969","0.5400","0.54","1","1","1","1","perfect",""
"p020+dualuse_hugh_jackman_grey_suit_outdoor","low","p020","dualuse_hugh_jackman_grey_suit_outdoor","PHEAD","1","1","perfect","1","1","0.0195","0.5000","1","0.942","0.45","1","0.931","perfect",""
"p020+dualuse_hugh_jackman_grey_suit_outdoor","low","p020","dualuse_hugh_jackman_grey_suit_outdoor","BC_klein","2","3","perfect","0","0","0.0195","0.5000","1","0.961","0.45","1","0.901","perfect",""
"p020+dualuse_hugh_jackman_grey_suit_outdoor","low","p020","dualuse_hugh_jackman_grey_suit_outdoor","QX_qwen_p1","3","5","ok","0","0","0.0195","0.5000","1","1","0.45","1","0.9","perfect",""
"p017+p002","low","p017","p002","PHEAD","1","1","perfect","1","1","0.0193","0.5340","0.534","1","1","1","1","perfect",""
"p017+p002","low","p017","p002","BC_klein","2","3","perfect","0","0","0.0193","0.6020","0.602","1","1","1","1","perfect",""
"p017+p002","low","p017","p002","QX_qwen_p1","3","5","fail","0","0","0.0193","0.5600","0.56","1","1","1","1","fail",""
"p019+p010","low","p019","p010","PHEAD","1","1","perfect","1","1","0.0223","1.0000","1","1","1","1","1","perfect",""
"p019+p010","low","p019","p010","BC_klein","2","3","perfect","0","0","0.0223","0.9750","0.975","1","1","1","1","perfect",""
"p019+p010","low","p019","p010","QX_qwen_p1","3","5","ok","0","0","0.0223","0.9970","1","0.997","1","1","1","ok",""
"dualuse_queen_latifah_gown_stage+p006","low","dualuse_queen_latifah_gown_stage","p006","PHEAD","1","1","perfect","1","1","0.0019","0.9490","1","1","1","1","0.664","perfect",""
"dualuse_queen_latifah_gown_stage+p006","low","dualuse_queen_latifah_gown_stage","p006","BC_klein","2","3","perfect","0","0","0.0019","0.9660","1","1","1","1","0.676","perfect",""
"dualuse_queen_latifah_gown_stage+p006","low","dualuse_queen_latifah_gown_stage","p006","QX_qwen_p1","3","5","perfect","0","0","0.0019","0.8660","1","1","1","1","0.606","perfect",""
"p009+p018","low","p009","p018","PHEAD","1","1","perfect","1","1","0.0295","0.9030","1","0.903","1","1","0.99","perfect",""
"p009+p018","low","p009","p018","BC_klein","2","3","perfect","0","0","0.0295","0.9280","1","0.928","1","1","0.999","perfect",""
"p009+p018","low","p009","p018","QX_qwen_p1","3","5","ok","0","0","0.0295","0.7370","0.737","0.785","1","1","1","ok",""
"p007+p030","low","p007","p030","PHEAD","1","1","perfect","1","1","0.1145","0.3310","0.331","1","1","1","0.582","perfect",""
"p007+p030","low","p007","p030","BC_klein","2","3","perfect","0","0","0.1145","0.3120","0.312","1","1","1","0.577","perfect",""
"p007+p030","low","p007","p030","QX_qwen_p1","3","5","perfect","0","0","0.1145","0.1930","0.193","1","1","1","0.576","perfect",""
"p026+p004","low","p026","p004","PHEAD","1","1","perfect","1","1","0.0430","0.6730","1","0.673","1","1","1","perfect",""
"p026+p004","low","p026","p004","BC_klein","2","3","perfect","0","0","0.0430","0.6760","1","0.676","1","1","1","perfect",""
"p026+p004","low","p026","p004","QX_qwen_p1","3","5","ok","0","0","0.0430","0.9210","1","0.921","1","1","1","fail",""
"p009+p014","low","p009","p014","PHEAD","1","1","perfect","1","1","0.0623","0.6000","0.6","0.899","1","1","0.972","perfect",""
"p009+p014","low","p009","p014","BC_klein","2","3","perfect","0","0","0.0623","0.6670","0.667","0.85","1","1","0.973","perfect",""
"p009+p014","low","p009","p014","QX_qwen_p1","3","5","ok","0","0","0.0623","0.3380","0.338","1","1","1","1","fail",""
"HD_p021","high","dualuse_emma_watson_black_blazer_armscrossed","p021","PHEAD","1","1","fail","0","1","0.1951","0.5090","1","1","1","1","0.356","fail",""
"HD_p021","high","dualuse_emma_watson_black_blazer_armscrossed","p021","BC_klein","2","3","perfect","1","1","0.1951","0.2730","1","1","1","1","0.191","perfect",""
"HD_p021","high","dualuse_emma_watson_black_blazer_armscrossed","p021","QX_qwen_p1","3","5","ok","0","0","0.1951","0.4110","1","1","1","1","0.288","perfect",""
"HD_p023","high","dualuse_lp_floral_kimono_set","p023","PHEAD","1","1","fail","0","1","0.1692","0.4230","1","0.423","1","1","1","fail",""
"HD_p023","high","dualuse_lp_floral_kimono_set","p023","BC_klein","2","3","fail","0","1","0.1692","0.1480","1","0.148","1","1","1","fail",""
"HD_p023","high","dualuse_lp_floral_kimono_set","p023","QX_qwen_p1","3","5","perfect","1","1","0.1692","1.0000","1","1","1","1","1","ok",""
"HD_dualuse_zendaya_white_blazer_skirt","high","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","PHEAD","1","1","perfect","1","1","0.1441","0.6290","1","1","1","1","0.44","perfect",""
"HD_dualuse_zendaya_white_blazer_skirt","high","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","BC_klein","2","3","perfect","0","0","0.1441","0.5760","1","1","1","1","0.403","perfect",""
"HD_dualuse_zendaya_white_blazer_skirt","high","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","QX_qwen_p1","3","5","perfect","0","0","0.1441","0.4950","0.495","1","1","1","0.428","perfect",""
"HD_p019","high","p011","p019","PHEAD","1","1","perfect","1","1","0.1353","1.0000","1","1","1","1","1","perfect",""
"HD_p019","high","p011","p019","BC_klein","2","3","perfect","0","0","0.1353","1.0000","1","1","1","1","1","perfect",""
"HD_p019","high","p011","p019","QX_qwen_p1","3","5","perfect","0","0","0.1353","1.0000","1","1","1","1","1","perfect",""
"HD_p028","high","p018","p028","PHEAD","1","1","perfect","1","1","0.1191","0.3020","0.302","1","1","1","1","perfect",""
"HD_p028","high","p018","p028","BC_klein","2","3","perfect","0","0","0.1191","0.2870","0.287","1","1","1","1","perfect",""
"HD_p028","high","p018","p028","QX_qwen_p1","3","5","perfect","0","0","0.1191","0.4620","0.462","1","1","1","1","perfect",""
"HD_p009","high","p026","p009","PHEAD","1","1","perfect","1","1","0.0722","0.6980","1","0.698","1","1","1","perfect",""
"HD_p009","high","p026","p009","BC_klein","2","3","perfect","0","0","0.0722","0.7460","1","0.746","1","1","1","perfect",""
"HD_p009","high","p026","p009","QX_qwen_p1","3","5","ok","0","0","0.0722","0.7680","1","0.768","1","1","1","ok",""
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","high","dualuse_hugh_jackman_grey_suit_outdoor","p021","PHEAD","1","1","fail","0","1","0.1951","1.0000","1","1","1","1","1","fail",""
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","high","dualuse_hugh_jackman_grey_suit_outdoor","p021","BC_klein","2","3","perfect","1","1","0.1951","1.0000","1","1","1","1","1","perfect",""
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","high","dualuse_hugh_jackman_grey_suit_outdoor","p021","QX_qwen_p1","3","5","ok","0","0","0.1951","1.0000","1","1","1","1","1","ok",""
"HD_p021+p009","high","p009","p021","PHEAD","1","1","fail","0","1","0.1951","1.0000","1","1","1","1","0.91","fail",""
"HD_p021+p009","high","p009","p021","BC_klein","2","3","perfect","1","1","0.1951","1.0000","1","1","1","1","1","ok",""
"HD_p021+p009","high","p009","p021","QX_qwen_p1","3","5","perfect","0","0","0.1951","1.0000","1","1","1","1","1","ok",""
"HD_p023+dualuse_queen_latifah_gown_stage","high","dualuse_queen_latifah_gown_stage","p023","PHEAD","1","1","ok","0","1","0.1692","0.6670","1","1","1","1","0.467","ok",""
"HD_p023+dualuse_queen_latifah_gown_stage","high","dualuse_queen_latifah_gown_stage","p023","BC_klein","2","3","ok","0","1","0.1692","0.6890","1","1","1","1","0.482","ok",""
"HD_p023+dualuse_queen_latifah_gown_stage","high","dualuse_queen_latifah_gown_stage","p023","QX_qwen_p1","3","5","perfect","1","1","0.1692","0.4160","0.416","1","1","1","0.536","perfect",""
"HD_p023+p019","high","p019","p023","PHEAD","1","1","fail","0","1","0.1692","0.4090","0.409","0.841","1","1","1","fail",""
"HD_p023+p019","high","p019","p023","BC_klein","2","3","fail","0","1","0.1692","0.4000","0.4","0.877","1","1","1","fail",""
"HD_p023+p019","high","p019","p023","QX_qwen_p1","3","5","ok","0","1","0.1692","0.5980","0.598","0.906","1","1","1","perfect",""
"HD_dualuse_zendaya_white_blazer_skirt+p017","high","p017","dualuse_zendaya_white_blazer_skirt","PHEAD","1","1","fail","0","1","0.1441","1.0000","1","1","1","1","0.902","fail",""
"HD_dualuse_zendaya_white_blazer_skirt+p017","high","p017","dualuse_zendaya_white_blazer_skirt","BC_klein","2","3","perfect","1","1","0.1441","0.9410","0.941","1","1","1","0.901","perfect",""
"HD_dualuse_zendaya_white_blazer_skirt+p017","high","p017","dualuse_zendaya_white_blazer_skirt","QX_qwen_p1","3","5","perfect","0","0","0.1441","0.2750","0.275","1","1","1","1","ok",""
"HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear","high","dualuse_lp_beige_long_coat_menswear","dualuse_zendaya_white_blazer_skirt","PHEAD","1","1","perfect","1","1","0.1441","1.0000","1","1","1","1","1","ok",""
"HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear","high","dualuse_lp_beige_long_coat_menswear","dualuse_zendaya_white_blazer_skirt","BC_klein","2","3","perfect","0","0","0.1441","1.0000","1","1","1","1","1","perfect",""
"HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear","high","dualuse_lp_beige_long_coat_menswear","dualuse_zendaya_white_blazer_skirt","QX_qwen_p1","3","5","perfect","0","0","0.1441","0.9270","0.927","1","1","1","1","perfect",""
"HD_p019+dualuse_hugh_jackman_grey_suit_outdoor","high","dualuse_hugh_jackman_grey_suit_outdoor","p019","PHEAD","1","1","ok","0","1","0.1353","1.0000","1","1","1","1","1","ok",""
"HD_p019+dualuse_hugh_jackman_grey_suit_outdoor","high","dualuse_hugh_jackman_grey_suit_outdoor","p019","BC_klein","2","3","ok","0","1","0.1353","1.0000","1","1","1","1","1","ok",""
"HD_p019+dualuse_hugh_jackman_grey_suit_outdoor","high","dualuse_hugh_jackman_grey_suit_outdoor","p019","QX_qwen_p1","3","5","perfect","1","1","0.1353","1.0000","1","1","1","1","1","perfect",""
"HD_p019+p009","high","p009","p019","PHEAD","1","1","ok","0","1","0.1353","0.9560","0.956","1","1","1","0.932","perfect",""
"HD_p019+p009","high","p009","p019","BC_klein","2","3","ok","0","1","0.1353","1.0000","1","1","1","1","0.93","perfect",""
"HD_p019+p009","high","p009","p019","QX_qwen_p1","3","5","ok","0","1","0.1353","1.0000","1","1","1","1","0.913","ok",""
"HD_p028+dualuse_navy_peacoat_onmodel","high","dualuse_navy_peacoat_onmodel","p028","PHEAD","1","1","fail","0","1","0.1191","0.4990","0.499","0.731","1","0.755","1","perfect",""
"HD_p028+dualuse_navy_peacoat_onmodel","high","dualuse_navy_peacoat_onmodel","p028","BC_klein","2","3","perfect","1","1","0.1191","0.4150","0.415","0.609","1","1","1","perfect",""
"HD_p028+dualuse_navy_peacoat_onmodel","high","dualuse_navy_peacoat_onmodel","p028","QX_qwen_p1","3","5","perfect","0","0","0.1191","0.4690","0.469","0.603","1","1","1","perfect",""
"HD_p028+p019","high","p019","p028","PHEAD","1","1","perfect","1","1","0.1191","0.9910","1","0.991","1","1","1","perfect",""
"HD_p028+p019","high","p019","p028","BC_klein","2","3","perfect","0","0","0.1191","1.0000","1","1","1","1","1","perfect",""
"HD_p028+p019","high","p019","p028","QX_qwen_p1","3","5","perfect","0","0","0.1191","0.3780","0.378","0.962","1","1","1","perfect",""
"HD_p009+p018","high","p018","p009","PHEAD","1","1","perfect","1","1","0.0722","0.4630","0.463","0.983","1","1","1","perfect",""
"HD_p009+p018","high","p018","p009","BC_klein","2","3","perfect","0","0","0.0722","0.4520","0.452","0.989","1","1","1","perfect",""
"HD_p009+p018","high","p018","p009","QX_qwen_p1","3","5","ok","0","0","0.0722","0.3530","0.353","0.975","1","1","1","perfect",""
"HD_p009+dualuse_man_black_suit_studio_nonceleb","high","dualuse_man_black_suit_studio_nonceleb","p009","PHEAD","1","1","perfect","1","1","0.0722","0.5360","1","0.536","1","1","1","perfect",""
"HD_p009+dualuse_man_black_suit_studio_nonceleb","high","dualuse_man_black_suit_studio_nonceleb","p009","BC_klein","2","3","perfect","0","0","0.0722","0.4930","1","0.493","1","1","1","ok",""
"HD_p009+dualuse_man_black_suit_studio_nonceleb","high","dualuse_man_black_suit_studio_nonceleb","p009","QX_qwen_p1","3","5","perfect","0","0","0.0722","0.2580","1","0.258","1","1","1","ok",""
